year,net_migration,source
2006,17285,World Bank SM.POP.NETM
2007,20170,World Bank SM.POP.NETM
2008,22488,World Bank SM.POP.NETM
2009,24324,World Bank SM.POP.NETM
2010,26048,World Bank SM.POP.NETM
2011,28086,World Bank SM.POP.NETM
2012,30870,World Bank SM.POP.NETM
2013,36529,World Bank SM.POP.NETM
2014,52702,World Bank SM.POP.NETM
2015,55689,World Bank SM.POP.NETM
2016,135864,World Bank SM.POP.NETM
2017,220621,World Bank SM.POP.NETM
2018,237807,World Bank SM.POP.NETM
2019,181339,World Bank SM.POP.NETM
2020,26042,World Bank SM.POP.NETM
2021,65480,World Bank SM.POP.NETM
2022,59374,World Bank SM.POP.NETM
2023,62679,World Bank SM.POP.NETM
2024,58316,World Bank SM.POP.NETM
2025,51712,World Bank SM.POP.NETM
