year,fertility_rate,source
2006,1.798,World Bank SP.DYN.TFRT.IN
2007,1.826,World Bank SP.DYN.TFRT.IN
2008,1.850,World Bank SP.DYN.TFRT.IN
2009,1.855,World Bank SP.DYN.TFRT.IN
2010,1.844,World Bank SP.DYN.TFRT.IN
2011,1.823,World Bank SP.DYN.TFRT.IN
2012,1.798,World Bank SP.DYN.TFRT.IN
2013,1.786,World Bank SP.DYN.TFRT.IN
2014,1.774,World Bank SP.DYN.TFRT.IN
2015,1.737,World Bank SP.DYN.TFRT.IN
2016,1.686,World Bank SP.DYN.TFRT.IN
2017,1.563,World Bank SP.DYN.TFRT.IN
2018,1.543,World Bank SP.DYN.TFRT.IN
2019,1.430,World Bank SP.DYN.TFRT.IN
2020,1.307,World Bank SP.DYN.TFRT.IN
2021,1.176,World Bank SP.DYN.TFRT.IN
2022,1.255,World Bank SP.DYN.TFRT.IN
2023,1.167,World Bank SP.DYN.TFRT.IN
2024,1.140,World Bank SP.DYN.TFRT.IN
